ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
200001_at,1.11E-04,7.57E-06,12.955328,CAPNS1,calpain small subunit 1
211163_s_at,1.12E-04,7.64E-06,12.943982,TNFRSF10C,TNF receptor superfamily member 10c
201104_x_at,1.12E-04,7.65E-06,12.941966,NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF14,"neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 14"
200066_at,1.13E-04,7.68E-06,12.937873,IK,"IK cytokine, down-regulator of HLA II"
206417_at,1.13E-04,7.70E-06,12.934388,CNGA1,cyclic nucleotide gated channel alpha 1
203021_at,1.13E-04,7.71E-06,12.932836,SLPI,secretory leukocyte peptidase inhibitor
203761_at,1.13E-04,7.71E-06,12.932474,SLA,Src-like-adaptor
214502_at,1.13E-04,7.76E-06,12.925072,HIST1H2BJ,"histone cluster 1, H2bj"
200944_s_at,1.14E-04,7.80E-06,12.919227,LOC101927733///HMGN1,uncharacterized LOC101927733///high mobility group nucleosome binding domain 1
208127_s_at,1.14E-04,7.81E-06,12.917329,SOCS5,suppressor of cytokine signaling 5
219244_s_at,1.14E-04,7.85E-06,12.911608,MRPL46,mitochondrial ribosomal protein L46
205260_s_at,1.16E-04,7.96E-06,12.894372,ACYP1,acylphosphatase 1
213524_s_at,1.17E-04,8.01E-06,12.88693,G0S2,G0/G1 switch 2
221511_x_at,1.17E-04,8.01E-06,12.886127,DYX1C1-CCPG1///CCPG1,DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1
213475_s_at,1.17E-04,8.02E-06,12.885083,ITGAL,integrin subunit alpha L
221264_s_at,1.18E-04,8.12E-06,12.87057,TARDBP,TAR DNA binding protein
212259_s_at,1.19E-04,8.16E-06,12.864907,PBXIP1,PBX homeobox interacting protein 1
209315_at,1.19E-04,8.16E-06,12.86455,HBS1L,HBS1 like translational GTPase
217838_s_at,1.19E-04,8.17E-06,12.862356,EVL,Enah/Vasp-like
207023_x_at,1.19E-04,8.18E-06,12.862115,KRT10,keratin 10
211282_x_at,1.19E-04,8.22E-06,12.856358,TNFRSF25,TNF receptor superfamily member 25
206695_x_at,1.20E-04,8.26E-06,12.849243,ZNF43,zinc finger protein 43
214808_at,1.20E-04,8.29E-06,12.845459,,
202422_s_at,1.20E-04,8.29E-06,12.845216,ACSL4,acyl-CoA synthetase long-chain family member 4
207983_s_at,1.20E-04,8.30E-06,12.84413,STAG2,stromal antigen 2
210424_s_at,1.20E-04,8.31E-06,12.842325,LOC101930583///GOLGA8B///GOLGA8A,uncharacterized LOC101930583///golgin A8 family member B///golgin A8 family member A
215781_s_at,1.20E-04,8.34E-06,12.837946,TOP3B,topoisomerase (DNA) III beta
210387_at,1.20E-04,8.34E-06,12.837551,HIST1H2BJ///HIST1H2BG,"histone cluster 1, H2bj///histone cluster 1, H2bg"
206889_at,1.21E-04,8.38E-06,12.832121,PDIA2,protein disulfide isomerase family A member 2
215947_s_at,1.22E-04,8.46E-06,12.820686,LOC100287852///FAM136A,protein FAM136A pseudogene///family with sequence similarity 136 member A
211532_x_at,1.22E-04,8.49E-06,12.816791,KIR2DS2,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2"
221652_s_at,1.23E-04,8.57E-06,12.805389,ASUN,"asunder, spermatogenesis regulator"
219854_at,1.24E-04,8.60E-06,12.801448,ZNF14,zinc finger protein 14
207252_at,1.24E-04,8.62E-06,12.79805,INE1,inactivation escape 1 (non-protein coding)
219423_x_at,1.25E-04,8.69E-06,12.78838,TNFRSF25,TNF receptor superfamily member 25
217716_s_at,1.26E-04,8.80E-06,12.773531,SEC61A1,Sec61 translocon alpha 1 subunit
208214_at,1.27E-04,8.85E-06,12.766794,ADRB1,adrenoceptor beta 1
219358_s_at,1.27E-04,8.86E-06,12.766052,ADAP2,ArfGAP with dual PH domains 2
203092_at,1.27E-04,8.87E-06,12.764822,TIMM44,translocase of inner mitochondrial membrane 44
210332_at,1.28E-04,8.94E-06,12.754748,ACHE,acetylcholinesterase (Cartwright blood group)
216430_x_at,1.29E-04,9.04E-06,12.741771,IGLV1-44,immunoglobulin lambda variable 1-44
36030_at,1.29E-04,9.05E-06,12.739773,IFFO1,intermediate filament family orphan 1
204238_s_at,1.29E-04,9.06E-06,12.738895,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
202251_at,1.30E-04,9.07E-06,12.737708,PRPF3,pre-mRNA processing factor 3
218132_s_at,1.30E-04,9.11E-06,12.732824,TSEN34,tRNA splicing endonuclease subunit 34
212575_at,1.30E-04,9.11E-06,12.732709,TMEM259,transmembrane protein 259
217527_s_at,1.31E-04,9.17E-06,12.723986,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
55065_at,1.31E-04,9.22E-06,12.718314,MARK4,microtubule affinity regulating kinase 4
206621_s_at,1.31E-04,9.22E-06,12.717223,EIF4H,eukaryotic translation initiation factor 4H
207078_at,1.31E-04,9.24E-06,12.715695,MED6,mediator complex subunit 6
216365_x_at,1.31E-04,9.24E-06,12.715308,IGLJ3///CKAP2,immunoglobulin lambda joining 3///cytoskeleton associated protein 2
219410_at,1.31E-04,9.25E-06,12.714128,TMEM45A,transmembrane protein 45A
207621_s_at,1.31E-04,9.25E-06,12.713833,PEMT,phosphatidylethanolamine N-methyltransferase
205592_at,1.31E-04,9.25E-06,12.713678,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
219719_at,1.32E-04,9.28E-06,12.709602,HIGD1B,HIG1 hypoxia inducible domain family member 1B
206544_x_at,1.32E-04,9.30E-06,12.707422,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
214268_s_at,1.33E-04,9.36E-06,12.700111,MTMR4,myotubularin related protein 4
222067_x_at,1.33E-04,9.40E-06,12.694047,HIST1H2BD,"histone cluster 1, H2bd"
212293_at,1.33E-04,9.41E-06,12.69279,HIPK1,homeodomain interacting protein kinase 1
211687_x_at,1.34E-04,9.44E-06,12.688854,KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
208621_s_at,1.34E-04,9.49E-06,12.683732,EZR,ezrin
221507_at,1.34E-04,9.49E-06,12.683276,TNPO2,transportin 2
201157_s_at,1.35E-04,9.56E-06,12.67417,NMT1,N-myristoyltransferase 1
221191_at,1.35E-04,9.58E-06,12.672419,STAG3L3,stromal antigen 3-like 3 (pseudogene)
213189_at,1.37E-04,9.74E-06,12.652327,MINA,MYC induced nuclear antigen
215693_x_at,1.38E-04,9.79E-06,12.646093,DDX27,DEAD-box helicase 27
209657_s_at,1.38E-04,9.82E-06,12.64175,HSF2,heat shock transcription factor 2
209270_at,1.39E-04,9.86E-06,12.637537,LAMB3,laminin subunit beta 3
220395_at,1.40E-04,9.99E-06,12.621564,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4
203616_at,1.43E-04,1.01E-05,12.602707,POLB,DNA polymerase beta
212605_s_at,1.43E-04,1.02E-05,12.598099,NUDT3,nudix hydrolase 3
200930_s_at,1.44E-04,1.03E-05,12.589228,VCL,vinculin
219754_at,1.44E-04,1.03E-05,12.587291,RBM41,RNA binding motif protein 41
210847_x_at,1.44E-04,1.03E-05,12.586985,TNFRSF25,TNF receptor superfamily member 25
216454_at,1.45E-04,1.03E-05,12.582643,TRMT1,tRNA methyltransferase 1
203691_at,1.45E-04,1.04E-05,12.579053,PI3,peptidase inhibitor 3
214290_s_at,1.45E-04,1.04E-05,12.577315,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3"
221781_s_at,1.45E-04,1.04E-05,12.572871,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10
222278_at,1.46E-04,1.04E-05,12.570821,LOC101929726,uncharacterized LOC101929726
217732_s_at,1.47E-04,1.05E-05,12.558841,ITM2B,integral membrane protein 2B
201813_s_at,1.47E-04,1.05E-05,12.557126,TBC1D5,TBC1 domain family member 5
201697_s_at,1.48E-04,1.06E-05,12.553069,DNMT1,DNA (cytosine-5-)-methyltransferase 1
218156_s_at,1.48E-04,1.06E-05,12.545574,TSR1,"TSR1, ribosome maturation factor"
218642_s_at,1.48E-04,1.06E-05,12.545152,CHCHD7,coiled-coil-helix-coiled-coil-helix domain containing 7
207545_s_at,1.49E-04,1.07E-05,12.542228,LOC101930388///LOC101928143///NUMB,"uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein"
202283_at,1.49E-04,1.07E-05,12.536938,SERPINF1,serpin family F member 1
219324_at,1.50E-04,1.08E-05,12.529757,NOL12,nucleolar protein 12
212406_s_at,1.51E-04,1.09E-05,12.52157,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
215269_at,1.51E-04,1.09E-05,12.516648,TRAPPC10,trafficking protein particle complex 10
216305_s_at,1.51E-04,1.09E-05,12.515117,GCFC2,GC-rich sequence DNA-binding factor 2
205291_at,1.53E-04,1.11E-05,12.498712,IL2RB,interleukin 2 receptor subunit beta
201938_at,1.54E-04,1.11E-05,12.490293,CDK2AP1,cyclin dependent kinase 2 associated protein 1
203149_at,1.55E-04,1.12E-05,12.483467,NECTIN2,nectin cell adhesion molecule 2
217202_s_at,1.55E-04,1.12E-05,12.483153,GLUL,glutamate-ammonia ligase
218682_s_at,1.56E-04,1.13E-05,12.478841,SLC4A1AP,solute carrier family 4 member 1 adaptor protein
209861_s_at,1.56E-04,1.13E-05,12.472379,METAP2,methionyl aminopeptidase 2
220840_s_at,1.57E-04,1.14E-05,12.466251,C1orf112,chromosome 1 open reading frame 112
205600_x_at,1.57E-04,1.14E-05,12.465328,HOXB5,homeobox B5
215202_at,1.57E-04,1.14E-05,12.464873,GUSBP11,"glucuronidase, beta pseudogene 11"
217378_x_at,1.58E-04,1.14E-05,12.461009,IGKV1OR2-108,immunoglobulin kappa variable 1/OR2-108 (non-functional)
214142_at,1.59E-04,1.15E-05,12.447937,ZG16,zymogen granule protein 16
208637_x_at,1.61E-04,1.17E-05,12.436484,ACTN1,actinin alpha 1
202689_at,1.63E-04,1.18E-05,12.421343,RBM15B,RNA binding motif protein 15B
200729_s_at,1.63E-04,1.19E-05,12.417052,ACTR2,ARP2 actin related protein 2 homolog
218743_at,1.63E-04,1.19E-05,12.413036,CHMP6,charged multivesicular body protein 6
205417_s_at,1.64E-04,1.19E-05,12.408524,DAG1,dystroglycan 1
217388_s_at,1.65E-04,1.20E-05,12.403226,KYNU,kynureninase
214662_at,1.65E-04,1.20E-05,12.402923,WDR43,WD repeat domain 43
210097_s_at,1.65E-04,1.20E-05,12.402249,NOL7,nucleolar protein 7
215440_s_at,1.65E-04,1.20E-05,12.398426,BEX4,brain expressed X-linked 4
202107_s_at,1.65E-04,1.21E-05,12.395948,MCM2,minichromosome maintenance complex component 2
216829_at,1.65E-04,1.21E-05,12.393167,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
201005_at,1.66E-04,1.21E-05,12.391749,CD9,CD9 molecule
203741_s_at,1.66E-04,1.22E-05,12.386041,ADCY7,adenylate cyclase 7
221789_x_at,1.67E-04,1.22E-05,12.382174,RHOT2,ras homolog family member T2
208038_at,1.67E-04,1.22E-05,12.380223,IL1RL2,interleukin 1 receptor like 2
201876_at,1.67E-04,1.23E-05,12.376003,PON2,paraoxonase 2
201627_s_at,1.68E-04,1.23E-05,12.372149,INSIG1,insulin induced gene 1
200668_s_at,1.70E-04,1.25E-05,12.355482,UBE2D3,ubiquitin conjugating enzyme E2 D3
211503_s_at,1.71E-04,1.26E-05,12.345435,RAB14,"RAB14, member RAS oncogene family"
207838_x_at,1.71E-04,1.26E-05,12.344208,PBXIP1,PBX homeobox interacting protein 1
212730_at,1.74E-04,1.28E-05,12.328215,SYNM,synemin
201602_s_at,1.74E-04,1.28E-05,12.326297,PPP1R12A,protein phosphatase 1 regulatory subunit 12A
200956_s_at,1.74E-04,1.28E-05,12.326091,SSRP1,structure specific recognition protein 1
212132_at,1.75E-04,1.29E-05,12.315771,LSM14A,"LSM14A, mRNA processing body assembly factor"
212164_at,1.76E-04,1.29E-05,12.311393,TMEM183B///TMEM183A,transmembrane protein 183B///transmembrane protein 183A
221856_s_at,1.76E-04,1.30E-05,12.305675,FAM63A,family with sequence similarity 63 member A
208688_x_at,1.77E-04,1.30E-05,12.303208,EIF3B,eukaryotic translation initiation factor 3 subunit B
209430_at,1.78E-04,1.31E-05,12.295258,BTAF1,B-TFIID TATA-box binding protein associated factor 1
200766_at,1.79E-04,1.32E-05,12.287449,CTSD,cathepsin D
210635_s_at,1.79E-04,1.32E-05,12.286035,KLHL20,kelch like family member 20
213593_s_at,1.79E-04,1.32E-05,12.285639,TRA2A,transformer 2 alpha homolog
218242_s_at,1.79E-04,1.32E-05,12.284931,KMT5B,lysine methyltransferase 5B
202413_s_at,1.79E-04,1.32E-05,12.284124,USP1,ubiquitin specific peptidase 1
203861_s_at,1.79E-04,1.33E-05,12.281336,ACTN2,actinin alpha 2
218740_s_at,1.80E-04,1.33E-05,12.278148,CDK5RAP3,CDK5 regulatory subunit associated protein 3
206542_s_at,1.81E-04,1.34E-05,12.269198,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
202888_s_at,1.81E-04,1.34E-05,12.26877,ANPEP,"alanyl aminopeptidase, membrane"
206515_at,1.81E-04,1.34E-05,12.268382,CYP4F3,cytochrome P450 family 4 subfamily F member 3
218042_at,1.81E-04,1.34E-05,12.266087,COPS4,COP9 signalosome subunit 4
202735_at,1.82E-04,1.35E-05,12.259756,EBP,emopamil binding protein (sterol isomerase)
208892_s_at,1.82E-04,1.35E-05,12.259409,DUSP6,dual specificity phosphatase 6
219470_x_at,1.83E-04,1.36E-05,12.253152,CCNJ,cyclin J
55705_at,1.83E-04,1.36E-05,12.252,R3HDM4,R3H domain containing 4
212273_x_at,1.85E-04,1.38E-05,12.238151,GNAS,GNAS complex locus
33132_at,1.86E-04,1.39E-05,12.229131,MIR6849///MIR1234///MIR939///CPSF1,microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
206648_at,1.87E-04,1.40E-05,12.22049,ZNF571,zinc finger protein 571
212589_at,1.88E-04,1.40E-05,12.216591,RRAS2,related RAS viral (r-ras) oncogene homolog 2
201343_at,1.88E-04,1.40E-05,12.216467,UBE2D2,ubiquitin conjugating enzyme E2 D2
210633_x_at,1.88E-04,1.41E-05,12.21282,KRT10,keratin 10
214760_at,1.89E-04,1.41E-05,12.208265,ZNF337,zinc finger protein 337
210653_s_at,1.89E-04,1.42E-05,12.205013,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta
201701_s_at,1.90E-04,1.42E-05,12.200111,PGRMC2,progesterone receptor membrane component 2
216063_at,1.90E-04,1.42E-05,12.199771,HBBP1,hemoglobin subunit beta pseudogene 1
214359_s_at,1.90E-04,1.42E-05,12.199417,HSP90AB1,heat shock protein 90 alpha family class B member 1
201918_at,1.91E-04,1.43E-05,12.192764,SLC25A36,solute carrier family 25 member 36
215743_at,1.91E-04,1.44E-05,12.186855,NMT2,N-myristoyltransferase 2
203265_s_at,1.91E-04,1.44E-05,12.186651,MAP2K4,mitogen-activated protein kinase kinase 4
213485_s_at,1.91E-04,1.44E-05,12.186572,ABCC10,ATP binding cassette subfamily C member 10
218120_s_at,1.92E-04,1.44E-05,12.184343,HMOX2,heme oxygenase 2
202220_at,1.92E-04,1.44E-05,12.182822,KIAA0907,KIAA0907
212455_at,1.92E-04,1.45E-05,12.178808,YTHDC1,YTH domain containing 1
203523_at,1.93E-04,1.45E-05,12.175656,LSP1,lymphocyte-specific protein 1
203534_at,1.93E-04,1.45E-05,12.172808,LSM1,"LSM1 homolog, mRNA degradation associated"
218411_s_at,1.93E-04,1.46E-05,12.170345,MBIP,MAP3K12 binding inhibitory protein 1
212469_at,1.95E-04,1.48E-05,12.155521,NIPBL,"NIPBL, cohesin loading factor"
AFFX-M27830_5_at,1.96E-04,1.48E-05,12.154107,,
203408_s_at,1.96E-04,1.48E-05,12.151795,SATB1,SATB homeobox 1
201754_at,1.96E-04,1.48E-05,12.150973,COX6C,cytochrome c oxidase subunit 6C
217754_at,1.96E-04,1.49E-05,12.147529,DDX56,DEAD-box helicase 56
211934_x_at,1.97E-04,1.49E-05,12.140892,GANAB,glucosidase II alpha subunit
207389_at,1.98E-04,1.50E-05,12.137361,GP1BA,glycoprotein Ib platelet alpha subunit
201066_at,1.98E-04,1.50E-05,12.136705,CYC1,cytochrome c1
210843_s_at,2.00E-04,1.52E-05,12.124037,MFAP3L,microfibrillar associated protein 3 like
221983_at,2.00E-04,1.52E-05,12.120277,FAM134A,family with sequence similarity 134 member A
218864_at,2.00E-04,1.52E-05,12.119872,TNS1,tensin 1
208704_x_at,2.01E-04,1.53E-05,12.115041,APLP2,amyloid beta precursor like protein 2
203701_s_at,2.01E-04,1.53E-05,12.114552,TRMT1,tRNA methyltransferase 1
204756_at,2.01E-04,1.53E-05,12.112611,MAP2K5,mitogen-activated protein kinase kinase 5
222326_at,2.01E-04,1.53E-05,12.111021,,
220201_at,2.01E-04,1.53E-05,12.110673,RC3H2,ring finger and CCCH-type domains 2
208541_x_at,2.01E-04,1.54E-05,12.108268,TFAM,"transcription factor A, mitochondrial"
207760_s_at,2.01E-04,1.54E-05,12.107825,NCOR2,nuclear receptor corepressor 2
212659_s_at,2.03E-04,1.55E-05,12.096183,IL1RN,interleukin 1 receptor antagonist
202981_x_at,2.03E-04,1.55E-05,12.095083,SIAH1,siah E3 ubiquitin protein ligase 1
212871_at,2.04E-04,1.56E-05,12.091293,MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5
41469_at,2.04E-04,1.56E-05,12.087763,PI3,peptidase inhibitor 3
208703_s_at,2.05E-04,1.57E-05,12.084062,APLP2,amyloid beta precursor like protein 2
202399_s_at,2.06E-04,1.58E-05,12.075385,C15orf38-AP3S2///AP3S2,C15orf38-AP3S2 readthrough///adaptor related protein complex 3 sigma 2 subunit
217802_s_at,2.06E-04,1.58E-05,12.074258,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
202215_s_at,2.06E-04,1.58E-05,12.073986,NFYC,nuclear transcription factor Y subunit gamma
201070_x_at,2.08E-04,1.59E-05,12.065702,SF3B1,splicing factor 3b subunit 1
219130_at,2.09E-04,1.60E-05,12.056915,TRMT13,tRNA methyltransferase 13 homolog
201973_s_at,2.10E-04,1.62E-05,12.047912,CCZ1B///CCZ1,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated///CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
203412_at,2.12E-04,1.63E-05,12.037582,LZTR1,leucine zipper like transcription regulator 1
219378_at,2.12E-04,1.63E-05,12.036202,NAA16,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit"
212068_s_at,2.13E-04,1.64E-05,12.03073,PRRC2B,proline rich coiled-coil 2B
214777_at,2.16E-04,1.66E-05,12.013304,IGKC,immunoglobulin kappa constant
218016_s_at,2.17E-04,1.67E-05,12.010868,LOC101060521///POLR3E,DNA-directed RNA polymerase III subunit RPC5///RNA polymerase III subunit E
215379_x_at,2.17E-04,1.67E-05,12.006765,IGLV1-44,immunoglobulin lambda variable 1-44
208861_s_at,2.18E-04,1.68E-05,12.001053,ATRX,"ATRX, chromatin remodeler"
209565_at,2.18E-04,1.69E-05,11.99766,RNF113A,ring finger protein 113A
212260_at,2.18E-04,1.69E-05,11.997551,GIGYF2,GRB10 interacting GYF protein 2
202838_at,2.19E-04,1.69E-05,11.996089,FUCA1,"fucosidase, alpha-L- 1, tissue"
200971_s_at,2.19E-04,1.69E-05,11.99275,SERP1,stress-associated endoplasmic reticulum protein 1
209724_s_at,2.20E-04,1.70E-05,11.987074,ZBTB14,zinc finger and BTB domain containing 14
210252_s_at,2.20E-04,1.70E-05,11.984241,MADD,MAP kinase activating death domain
202227_s_at,2.20E-04,1.71E-05,11.983474,BRD8,bromodomain containing 8
212880_at,2.20E-04,1.71E-05,11.982581,WDR7,WD repeat domain 7
220296_at,2.20E-04,1.71E-05,11.981705,,
204203_at,2.20E-04,1.71E-05,11.980974,CEBPG,CCAAT/enhancer binding protein gamma
218136_s_at,2.21E-04,1.72E-05,11.976523,SLC25A37,solute carrier family 25 member 37
214625_s_at,2.24E-04,1.74E-05,11.962,MINK1,misshapen like kinase 1
209260_at,2.24E-04,1.74E-05,11.961613,SFN,stratifin
201603_at,2.24E-04,1.74E-05,11.95767,PPP1R12A,protein phosphatase 1 regulatory subunit 12A
200020_at,2.24E-04,1.74E-05,11.957457,TARDBP,TAR DNA binding protein
211434_s_at,2.25E-04,1.75E-05,11.954344,CCRL2,C-C motif chemokine receptor like 2
205284_at,2.26E-04,1.76E-05,11.946382,URB2,URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
202521_at,2.27E-04,1.77E-05,11.941074,CTCF,CCCTC-binding factor
201129_at,2.27E-04,1.77E-05,11.940543,SRSF7,serine and arginine rich splicing factor 7
210715_s_at,2.27E-04,1.77E-05,11.940424,SPINT2,"serine peptidase inhibitor, Kunitz type 2"
203449_s_at,2.28E-04,1.78E-05,11.933547,TERF1,telomeric repeat binding factor 1
218627_at,2.28E-04,1.78E-05,11.932938,DRAM1,DNA damage regulated autophagy modulator 1
208720_s_at,2.28E-04,1.78E-05,11.932662,RBM39,RNA binding motif protein 39
214958_s_at,2.28E-04,1.78E-05,11.931559,TMC6,transmembrane channel like 6
200658_s_at,2.28E-04,1.78E-05,11.93123,PHB,prohibitin
210336_x_at,2.30E-04,1.80E-05,11.919468,MZF1,myeloid zinc finger 1
202456_s_at,2.31E-04,1.81E-05,11.914523,ZER1,zyg-11 related cell cycle regulator
220865_s_at,2.31E-04,1.81E-05,11.914111,PDSS1,"prenyl (decaprenyl) diphosphate synthase, subunit 1"
202514_at,2.31E-04,1.81E-05,11.913042,DLG1,discs large MAGUK scaffold protein 1
210077_s_at,2.31E-04,1.81E-05,11.911748,SRSF5,serine and arginine rich splicing factor 5
203561_at,2.31E-04,1.81E-05,11.911477,FCGR2A,Fc fragment of IgG receptor IIa
200981_x_at,2.32E-04,1.82E-05,11.907541,GNAS,GNAS complex locus
207825_s_at,2.32E-04,1.82E-05,11.904977,GHRHR,growth hormone releasing hormone receptor
60815_at,2.32E-04,1.83E-05,11.902779,POLR2J4,"RNA polymerase II subunit J4, pseudogene"
203785_s_at,2.32E-04,1.83E-05,11.902225,DDX28,DEAD-box helicase 28
217958_at,2.33E-04,1.83E-05,11.897594,MIR3656///TRAPPC4,microRNA 3656///trafficking protein particle complex 4
214219_x_at,2.34E-04,1.85E-05,11.889637,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1
217940_s_at,2.35E-04,1.85E-05,11.886915,NAXD,NAD(P)HX dehydratase
210370_s_at,2.35E-04,1.85E-05,11.886195,LY9,lymphocyte antigen 9
221229_s_at,2.36E-04,1.86E-05,11.880173,TRMT61B,tRNA methyltransferase 61B
221270_s_at,2.37E-04,1.87E-05,11.875784,QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1
210493_s_at,2.37E-04,1.87E-05,11.87443,MFAP3L,microfibrillar associated protein 3 like
213469_at,2.37E-04,1.87E-05,11.873506,PGAP1,post-GPI attachment to proteins 1
201606_s_at,2.37E-04,1.87E-05,11.872722,PWP1,"PWP1 homolog, endonuclein"
200740_s_at,2.37E-04,1.87E-05,11.871638,SUMO3,small ubiquitin-like modifier 3
211855_s_at,2.37E-04,1.88E-05,11.868308,SLC25A14,solute carrier family 25 member 14
212411_at,2.38E-04,1.88E-05,11.864559,IMP4,"IMP4 homolog, U3 small nucleolar ribonucleoprotein"
220560_at,2.39E-04,1.90E-05,11.858208,C11orf21,chromosome 11 open reading frame 21
202626_s_at,2.41E-04,1.91E-05,11.85047,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
212233_at,2.44E-04,1.93E-05,11.834772,MAP1B,microtubule associated protein 1B
203057_s_at,2.45E-04,1.95E-05,11.827034,PRDM2,PR/SET domain 2
218331_s_at,2.45E-04,1.95E-05,11.826228,FAM208B,family with sequence similarity 208 member B
205273_s_at,2.46E-04,1.95E-05,11.824223,PITRM1,pitrilysin metallopeptidase 1
215464_s_at,2.46E-04,1.96E-05,11.820936,P2RX5-TAX1BP3///TAX1BP3///P2RX5,P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3///purinergic receptor P2X 5
221504_s_at,2.47E-04,1.97E-05,11.813718,ATP6V1H,ATPase H+ transporting V1 subunit H
203988_s_at,2.48E-04,1.97E-05,11.809907,FUT8,fucosyltransferase 8
219322_s_at,2.48E-04,1.97E-05,11.809632,WRAP73,"WD repeat containing, antisense to TP73"
212249_at,2.48E-04,1.98E-05,11.806548,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1
213239_at,2.49E-04,1.98E-05,11.804572,PIBF1,progesterone immunomodulatory binding factor 1
217893_s_at,2.49E-04,1.98E-05,11.803987,AKIRIN1,akirin 1
200995_at,2.49E-04,1.98E-05,11.80364,IPO7,importin 7
219843_at,2.50E-04,2.00E-05,11.794818,IPP,intracisternal A particle-promoted polypeptide
211450_s_at,2.51E-04,2.01E-05,11.790793,MSH6,mutS homolog 6
219679_s_at,2.51E-04,2.01E-05,11.788415,WAC,WW domain containing adaptor with coiled-coil
204022_at,2.53E-04,2.03E-05,11.779398,WWP2,WW domain containing E3 ubiquitin protein ligase 2
216925_s_at,2.54E-04,2.03E-05,11.77617,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
219984_s_at,2.54E-04,2.03E-05,11.77467,HRASLS,HRAS like suppressor
219129_s_at,2.54E-04,2.04E-05,11.773613,SAP30L,SAP30 like
220757_s_at,2.56E-04,2.05E-05,11.765123,MIR4746///UBXN6,microRNA 4746///UBX domain protein 6
208434_at,2.56E-04,2.05E-05,11.763071,MECOM,MDS1 and EVI1 complex locus
217224_at,2.56E-04,2.06E-05,11.762099,,
202300_at,2.57E-04,2.06E-05,11.757135,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
201731_s_at,2.57E-04,2.06E-05,11.756943,TPR,"translocated promoter region, nuclear basket protein"
221506_s_at,2.57E-04,2.07E-05,11.755483,TNPO2,transportin 2
214828_s_at,2.58E-04,2.07E-05,11.752055,RRP7BP///RRP7A,"ribosomal RNA processing 7 homolog B, pseudogene///ribosomal RNA processing 7 homolog A"
210113_s_at,2.58E-04,2.07E-05,11.750936,NLRP1,NLR family pyrin domain containing 1
217526_at,2.58E-04,2.08E-05,11.750446,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
206283_s_at,2.59E-04,2.09E-05,11.743638,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
211162_x_at,2.59E-04,2.09E-05,11.742436,SCD,stearoyl-CoA desaturase
206044_s_at,2.59E-04,2.09E-05,11.741832,KIAA1549///BRAF,"KIAA1549///B-Raf proto-oncogene, serine/threonine kinase"
200844_s_at,2.60E-04,2.09E-05,11.739813,PRDX6,peroxiredoxin 6
210502_s_at,2.60E-04,2.10E-05,11.738192,PPIE,peptidylprolyl isomerase E
221524_s_at,2.63E-04,2.13E-05,11.721746,RRAGD,Ras related GTP binding D
207769_s_at,2.63E-04,2.13E-05,11.720383,PQBP1,polyglutamine binding protein 1
